description,category
Swiggy order,Food
Zomato food delivery,Food
McDonalds lunch,Food
Dominos pizza,Food
KFC dinner,Food
Burger King meal,Food
Subway sandwich,Food
Pizza Hut order,Food
KFC family meal,Food
Chai point office,Food
Tea and snacks canteen,Food
Office pantry snacks,Food
Tea coffee vending,Food
Swiggy breakfast,Food
Burger corner meal,Food
Pizza and drinks evening,Food
Swiggy dinner,Food
Zomato lunch order,Food
McDonalds dinner,Food
Zomato lunch,Food
Burger King family,Food
Rent payment,Rent
Rent payment second week,Rent
House rent monthly,Rent
Rent transfer landlord,Rent
PG accommodation rent,Rent
Electricity bill,Bills
Water and gas bill,Bills
DTH recharge and internet bill,Bills
Mobile phone bill,Bills
LPG cylinder payment,Bills
Internet broadband bill,Bills
Amazon Prime and subscription,Bills
Netflix and Spotify subscription,Bills
DTH and OTT bills,Bills
Electricity surcharge,Bills
Jio postpaid bill,Bills
Netflix Hotstar subscriptions,Bills
Vodafone postpaid,Bills
Electricity bill revised,Bills
BSNL broadband bill,Bills
Gas and water bill,Bills
LPG and maintenance,Bills
Electricity overage bill,Bills
Ola cab ride,Transport
Uber ride to office,Transport
Rapido bike ride,Transport
Auto rickshaw rides,Transport
Petrol refill,Transport
Metro card recharge,Transport
Bus pass monthly,Transport
Rapido ride,Transport
Ola outstation trip,Transport
Uber airport drop,Transport
City bus monthly pass,Transport
Petrol and parking,Transport
Uber rides weekly,Transport
Rapido office rides,Transport
Auto rides,Transport
Petrol full tank,Transport
Rickshaw rides,Transport
Amazon shopping,Shopping
Flipkart order shoes,Shopping
Myntra clothes,Shopping
Meesho shopping spree,Shopping
Amazon electronics,Shopping
Flipkart sale purchase,Shopping
Nykaa beauty products,Shopping
Ajio fashion order,Shopping
Amazon gadget purchase,Shopping
Meesho bulk order,Shopping
Bewakoof clothing,Shopping
Apple accessories purchase,Shopping
Amazon household items,Shopping
Flipkart electronics,Shopping
Grocery shopping Big Bazaar,Food
Dunzo grocery delivery,Food
BigBasket weekly groceries,Food
More supermarket groceries,Food
Blinkit grocery express,Food
Reliance Fresh groceries,Food
Zepto grocery delivery,Food
DMart groceries,Food
